id,var_name,label,format,Dashboard,type,label_yes,dropdown,Filter,Name dropdown,Description
001,school_id,School ID,%10.0g,TRUE,id,,FALSE,,,
002,school_nam,School Name,%9s,TRUE,id,,FALSE,,,
003,division_num,Division_num,%10.0g,TRUE,id,,FALSE,TRUE,,
004,division_nam,Division_nam,%16s,TRUE,id,,FALSE,TRUE,,
005,district_num,District Number,%8.0g,TRUE,id,,FALSE,TRUE,,
006,district_nam,District Name,%19s,TRUE,id,,FALSE,TRUE,,
007,enrol_std1,Enrollment (std 1),%9.0g,TRUE,continous,,TRUE,,,
008,enrol_std2,Enrollment (std 2),%9.0g,TRUE,continous,,TRUE,,,
009,enrol_std3,Enrollment (std 3),%9.0g,TRUE,continous,,TRUE,,,
010,enrol_std4,Enrollment (std 4),%9.0g,TRUE,continous,,TRUE,,,
011,enrol_std5,Enrollment (std 5),%9.0g,TRUE,continous,,TRUE,,,
012,enrol_std6,Enrollment (std 6),%9.0g,TRUE,continous,,TRUE,,,
013,enrol_std7,Enrollment (std 7),%9.0g,TRUE,continous,,TRUE,,,
014,enrol_std8,Enrollment (std 8),%9.0g,TRUE,continous,,TRUE,,,
015,enrol_tot,Total Enrolment,%9.0g,TRUE,continous,,TRUE,,,
016,enrol_lower_tot,Lower Primary Enrolment,%9.0g,TRUE,continous,,TRUE,,,
017,enrol_upper_tot,Upper Primary Enrolment,%9.0g,TRUE,continous,,TRUE,,,
018,enrol_std1_f,Female Enrollment (std 1),%9.0g,TRUE,continous,,TRUE,,,
019,enrol_std2_f,Female Enrollment (std 2),%9.0g,TRUE,continous,,TRUE,,,
020,enrol_std3_f,Female Enrollment (std 3),%9.0g,TRUE,continous,,TRUE,,,
021,enrol_std4_f,Female Enrollment (std 4),%9.0g,TRUE,continous,,TRUE,,,
022,enrol_std5_f,Female Enrollment (std 5),%9.0g,TRUE,continous,,TRUE,,,
023,enrol_std6_f,Female Enrollment (std 6),%9.0g,TRUE,continous,,TRUE,,,
024,enrol_std7_f,Female Enrollment (std 7),%9.0g,TRUE,continous,,TRUE,,,
025,enrol_std8_f,Female Enrollment (std 8),%9.0g,TRUE,continous,,TRUE,,,
026,enrol_tot_f,Female Enrollment (total),%9.0g,TRUE,continous,,TRUE,,,
027,enrol_lower_tot_f,Female Enrollment (std 1-4),%9.0g,TRUE,continous,,TRUE,,,
028,enrol_upper_tot_f,Female Enrollment (std 4-8),%9.0g,TRUE,continous,,TRUE,,,
029,enrol_std1_m,Male Enrollment (std 1),%9.0g,TRUE,continous,,TRUE,,,
030,enrol_std2_m,Male Enrollment (std 2),%9.0g,TRUE,continous,,TRUE,,,
031,enrol_std3_m,Male Enrollment (std 3),%9.0g,TRUE,continous,,TRUE,,,
032,enrol_std4_m,Male Enrollment (std 4),%9.0g,TRUE,continous,,TRUE,,,
033,enrol_std5_m,Male Enrollment (std 5),%9.0g,TRUE,continous,,TRUE,,,
034,enrol_std6_m,Male Enrollment (std 6),%9.0g,TRUE,continous,,TRUE,,,
035,enrol_std7_m,Male Enrollment (std 7),%9.0g,TRUE,continous,,TRUE,,,
036,enrol_std8_m,Male Enrollment (std 8),%9.0g,TRUE,continous,,TRUE,,,
037,enrol_tot_m,Male Enrollment (total),%9.0g,TRUE,continous,,TRUE,,,
038,enrol_lower_tot_m,Male Enrollment (std 1-4),%9.0g,TRUE,continous,,TRUE,,,
039,enrol_upper_tot_m,Male Enrollment (std 4-8),%9.0g,TRUE,continous,,TRUE,,,
040,output_efficiency_grade4,Output Efficiency (std 4),%9.0g,TRUE,continous,,TRUE,,,
041,output_efficiency_grade8,Output Efficiency (std 8),%9.0g,TRUE,continous,,TRUE,,,
042,output_efficiency_grade4_f,Female Output Efficiency (std 4),%9.0g,TRUE,continous,,TRUE,,,
043,output_efficiency_grade8_f,Female Output Efficiency (std 8),%9.0g,TRUE,continous,,TRUE,,,
044,output_efficiency_grade4_m,Male Output Efficiency (std 4),%9.0g,TRUE,continous,,TRUE,,,
045,output_efficiency_grade8_m,Male Output Efficiency (std 8),%9.0g,TRUE,continous,,TRUE,,,
046,num_non_tch_staff,Number of non-teaching staff,%9.0g,TRUE,continous,,TRUE,,,
047,ptxt_ratio_eng_tot,Pupil:txt ratio English,%9.0g,TRUE,continous,,TRUE,,,
048,ptxt_ratio_math_tot,Pupil:txt ratio Math,%9.0g,TRUE,continous,,TRUE,,,
049,ptxt_ratio_chi_tot,Pupil:txt ratio Chichewa,%9.0g,TRUE,continous,,TRUE,,,
050,ptxt_ratio_upper,Pupil:txt ratio upper,%9.0g,TRUE,continous,,TRUE,,,
051,ptxt_ratio_lower_eng,,%9.0g,TRUE,continous,,TRUE,,,
052,ptxt_ratio_lower_math,,%9.0g,TRUE,continous,,TRUE,,,
053,ptxt_ratio_lower_chi,,%9.0g,TRUE,continous,,TRUE,,,
054,ptxt_ratio_upper_eng,,%9.0g,TRUE,continous,,TRUE,,,
055,ptxt_ratio_upper_math,,%9.0g,TRUE,continous,,TRUE,,,
056,ptxt_ratio_upper_chi,,%9.0g,TRUE,continous,,TRUE,,,
057,ptxt_ratio_tot,Pupil-Textbook Ratio,%9.0g,TRUE,continous,,TRUE,,,
058,co_edu_sch,coeducational school gender category (y or n),%9.0g,TRUE,binary,is coeducational school gender,TRUE,,,
059,public,"schoolâ€™s ownership type: Government, Non-religious NGO, Religious Agency (specif",%9.0g,TRUE,continous,,TRUE,,,
060,rmdl_class,131_m1: Does the school offer remedial classes for poor performing students?,%8.0g,TRUE,continous,,TRUE,,,
061,rmdl_class_tot,,%9.0g,TRUE,continous,,TRUE,,,
062,rmdl_class_free_tot,,%9.0g,TRUE,continous,,TRUE,,,
063,rmdl_classes_freq_tot,,%9.0g,TRUE,continous,,TRUE,,,
064,rmdl_stu_m_tot,,%9.0g,TRUE,continous,,TRUE,,,
065,rmdl_stu_f_tot,,%9.0g,TRUE,continous,,TRUE,,,
066,rmdl_stu_tot_tot,,%9.0g,TRUE,continous,,TRUE,,,
067,establish_year,Estblish year,%8.0g,TRUE,continous,,TRUE,,,
068,proprietor,Proprietor,%8.0g,TRUE,continous,,TRUE,,,
069,senior_tch,No. Senior Teachers in School,%9.0g,TRUE,continous,,TRUE,,,
070,std_tch,No. General Teachers in School,%9.0g,TRUE,continous,,TRUE,,,
071,jun_tch,No. Junior Teachers in School,%9.0g,TRUE,continous,,TRUE,,,
072,oth_tch,No. Other Teachers in School,%9.0g,TRUE,continous,,TRUE,,,
073,aux_tch,No. Auxilliary Teachers in School (roster),%9.0g,TRUE,continous,,TRUE,,,
074,std_offered,Q51.What standards are offered in this school?,%15.0g,TRUE,continous,,TRUE,,,
075,female_tch_ratio_std1,number of female teachers in standard 1 / number of teachers in standard 1,%9.0g,TRUE,continous,,TRUE,,,
076,female_tch_ratio_std2,number of female teachers in standard 2 / number of teachers in standard 2,%9.0g,TRUE,continous,,TRUE,,,
077,female_tch_ratio_std3,number of female teachers in standard 3 / number of teachers in standard 3,%9.0g,TRUE,continous,,TRUE,,,
078,female_tch_ratio_std4,number of female teachers in standard 4 / number of teachers in standard 4,%9.0g,TRUE,continous,,TRUE,,,
079,female_tch_ratio_std5,number of female teachers in standard 5 / number of teachers in standard 5,%9.0g,TRUE,continous,,TRUE,,,
080,female_tch_ratio_std6,number of female teachers in standard 6 / number of teachers in standard 6,%9.0g,TRUE,continous,,TRUE,,,
