school_id,division_num,division_nam,district_num,district_nam
1,1,Northern,1,Chitipa
1,1,Northern,1,Chitipa
2,1,Northern,1,Chitipa
2,1,Northern,1,Chitipa
3,1,Northern,1,Chitipa
4,1,Northern,1,Chitipa
5,1,Northern,1,Chitipa
5,1,Northern,1,Chitipa
6,1,Northern,1,Chitipa
6,1,Northern,1,Chitipa
7,3,Central Western,16,Lilongwe Rural East
8,1,Northern,1,Chitipa
8,1,Northern,1,Chitipa
9,1,Northern,1,Chitipa
9,1,Northern,1,Chitipa
10,1,Northern,1,Chitipa
10,1,Northern,1,Chitipa
11,1,Northern,1,Chitipa
11,1,Northern,1,Chitipa
12,1,Northern,1,Chitipa
12,1,Northern,1,Chitipa
13,1,Northern,1,Chitipa
14,2,Central Eastern,10,Nkhotakota
14,2,Central Eastern,10,Nkhotakota
14,2,Central Eastern,10,Nkhotakota
15,1,Northern,2,Karonga
15,1,Northern,2,Karonga
16,1,Northern,2,Karonga
16,1,Northern,2,Karonga
17,1,Northern,2,Karonga
18,1,Northern,2,Karonga
18,1,Northern,2,Karonga
19,1,Northern,2,Karonga
19,1,Northern,2,Karonga
20,1,Northern,2,Karonga
21,1,Northern,2,Karonga
21,1,Northern,2,Karonga
22,1,Northern,2,Karonga
23,1,Northern,2,Karonga
23,1,Northern,2,Karonga
25,1,Northern,2,Karonga
26,1,Northern,2,Karonga
26,1,Northern,2,Karonga
27,1,Northern,2,Karonga
28,1,Northern,2,Karonga
29,1,Northern,3,Rumphi
29,1,Northern,3,Rumphi
29,1,Northern,3,Rumphi
30,1,Northern,7,Nkhata Bay
30,1,Northern,7,Nkhata Bay
32,1,Northern,3,Rumphi
32,1,Northern,3,Rumphi
32,1,Northern,3,Rumphi
33,1,Northern,3,Rumphi
33,1,Northern,3,Rumphi
33,1,Northern,3,Rumphi
34,1,Northern,3,Rumphi
34,1,Northern,3,Rumphi
34,1,Northern,3,Rumphi
35,1,Northern,3,Rumphi
35,1,Northern,3,Rumphi
35,1,Northern,3,Rumphi
36,1,Northern,3,Rumphi
36,1,Northern,3,Rumphi
36,1,Northern,3,Rumphi
37,1,Northern,3,Rumphi
37,1,Northern,3,Rumphi
37,1,Northern,3,Rumphi
38,1,Northern,3,Rumphi
38,1,Northern,3,Rumphi
38,1,Northern,3,Rumphi
39,1,Northern,3,Rumphi
39,1,Northern,3,Rumphi
39,1,Northern,3,Rumphi
40,1,Northern,3,Rumphi
40,1,Northern,3,Rumphi
40,1,Northern,3,Rumphi
41,1,Northern,3,Rumphi
41,1,Northern,3,Rumphi
42,1,Northern,3,Rumphi
42,1,Northern,3,Rumphi
42,1,Northern,3,Rumphi
43,1,Northern,3,Rumphi
43,1,Northern,3,Rumphi
43,1,Northern,3,Rumphi
44,1,Northern,3,Rumphi
44,1,Northern,3,Rumphi
45,2,Central Eastern,10,Nkhotakota
45,2,Central Eastern,10,Nkhotakota
45,2,Central Eastern,10,Nkhotakota
47,1,Northern,4,Mzimba North
47,1,Northern,4,Mzimba North
48,1,Northern,4,Mzimba North
49,1,Northern,4,Mzimba North
50,1,Northern,4,Mzimba North
51,1,Northern,4,Mzimba North
52,1,Northern,4,Mzimba North
53,1,Northern,4,Mzimba North
53,1,Northern,4,Mzimba North
54,1,Northern,4,Mzimba North
54,1,Northern,4,Mzimba North
55,1,Northern,4,Mzimba North
56,1,Northern,4,Mzimba North
57,1,Northern,4,Mzimba North
57,1,Northern,4,Mzimba North
58,1,Northern,4,Mzimba North
58,1,Northern,4,Mzimba North
59,1,Northern,4,Mzimba North
60,1,Northern,4,Mzimba North
60,1,Northern,4,Mzimba North
61,1,Northern,4,Mzimba North
61,1,Northern,4,Mzimba North
62,1,Northern,4,Mzimba North
62,1,Northern,4,Mzimba North
63,1,Northern,4,Mzimba North
63,1,Northern,4,Mzimba North
64,1,Northern,4,Mzimba North
65,1,Northern,4,Mzimba North
65,1,Northern,4,Mzimba North
66,2,Central Eastern,9,Kasungu
66,2,Central Eastern,9,Kasungu
68,2,Central Eastern,12,Ntchisi
68,2,Central Eastern,12,Ntchisi
69,1,Northern,5,Mzimba South
69,1,Northern,5,Mzimba South
69,1,Northern,5,Mzimba South
70,1,Northern,5,Mzimba South
70,1,Northern,5,Mzimba South
70,1,Northern,5,Mzimba South
71,1,Northern,5,Mzimba South
71,1,Northern,5,Mzimba South
71,1,Northern,5,Mzimba South
72,1,Northern,5,Mzimba South
72,1,Northern,5,Mzimba South
72,1,Northern,5,Mzimba South
73,1,Northern,5,Mzimba South
73,1,Northern,5,Mzimba South
73,1,Northern,5,Mzimba South
74,1,Northern,5,Mzimba South
74,1,Northern,5,Mzimba South
74,1,Northern,5,Mzimba South
75,1,Northern,5,Mzimba South
75,1,Northern,5,Mzimba South
75,1,Northern,5,Mzimba South
76,1,Northern,5,Mzimba South
76,1,Northern,5,Mzimba South
76,1,Northern,5,Mzimba South
77,1,Northern,5,Mzimba South
77,1,Northern,5,Mzimba South
77,1,Northern,5,Mzimba South
79,1,Northern,5,Mzimba South
79,1,Northern,5,Mzimba South
80,6,Shire Highlands,33,Phalombe
80,6,Shire Highlands,33,Phalombe
81,1,Northern,5,Mzimba South
81,1,Northern,5,Mzimba South
81,1,Northern,5,Mzimba South
82,1,Northern,5,Mzimba South
82,1,Northern,5,Mzimba South
82,1,Northern,5,Mzimba South
83,1,Northern,5,Mzimba South
83,1,Northern,5,Mzimba South
84,1,Northern,5,Mzimba South
84,1,Northern,5,Mzimba South
85,1,Northern,5,Mzimba South
85,1,Northern,5,Mzimba South
85,1,Northern,5,Mzimba South
86,1,Northern,5,Mzimba South
86,1,Northern,5,Mzimba South
87,1,Northern,5,Mzimba South
87,1,Northern,5,Mzimba South
87,1,Northern,5,Mzimba South
88,1,Northern,5,Mzimba South
88,1,Northern,5,Mzimba South
89,1,Northern,5,Mzimba South
89,1,Northern,5,Mzimba South
90,3,Central Western,17,Lilongwe Rural West
90,3,Central Western,17,Lilongwe Rural West
91,2,Central Eastern,11,Dowa
91,2,Central Eastern,11,Dowa
91,2,Central Eastern,11,Dowa
92,2,Central Eastern,10,Nkhotakota
92,2,Central Eastern,10,Nkhotakota
92,2,Central Eastern,10,Nkhotakota
93,2,Central Eastern,10,Nkhotakota
93,2,Central Eastern,10,Nkhotakota
93,2,Central Eastern,10,Nkhotakota
95,3,Central Western,19,Ntcheu
96,2,Central Eastern,11,Dowa
96,2,Central Eastern,11,Dowa
97,1,Northern,7,Nkhata Bay
98,1,Northern,7,Nkhata Bay
98,1,Northern,7,Nkhata Bay
99,1,Northern,7,Nkhata Bay
99,1,Northern,7,Nkhata Bay
100,1,Northern,7,Nkhata Bay
101,1,Northern,7,Nkhata Bay
101,1,Northern,7,Nkhata Bay
102,1,Northern,7,Nkhata Bay
102,1,Northern,7,Nkhata Bay
103,1,Northern,7,Nkhata Bay
104,1,Northern,7,Nkhata Bay
105,1,Northern,7,Nkhata Bay
106,1,Northern,7,Nkhata Bay
107,1,Northern,7,Nkhata Bay
108,1,Northern,7,Nkhata Bay
108,1,Northern,7,Nkhata Bay
109,1,Northern,7,Nkhata Bay
109,1,Northern,7,Nkhata Bay
110,1,Northern,7,Nkhata Bay
112,6,Shire Highlands,31,Thyolo
112,6,Shire Highlands,31,Thyolo
113,1,Northern,8,Likoma
114,1,Northern,8,Likoma
115,1,Northern,8,Likoma
116,6,Shire Highlands,33,Phalombe
116,6,Shire Highlands,33,Phalombe
118,2,Central Eastern,9,Kasungu
118,2,Central Eastern,9,Kasungu
118,2,Central Eastern,9,Kasungu
119,2,Central Eastern,9,Kasungu
119,2,Central Eastern,9,Kasungu
119,2,Central Eastern,9,Kasungu
120,2,Central Eastern,9,Kasungu
120,2,Central Eastern,9,Kasungu
121,2,Central Eastern,9,Kasungu
121,2,Central Eastern,9,Kasungu
121,2,Central Eastern,9,Kasungu
122,2,Central Eastern,9,Kasungu
122,2,Central Eastern,9,Kasungu
122,2,Central Eastern,9,Kasungu
123,2,Central Eastern,9,Kasungu
123,2,Central Eastern,9,Kasungu
123,2,Central Eastern,9,Kasungu
124,2,Central Eastern,9,Kasungu
124,2,Central Eastern,9,Kasungu
124,2,Central Eastern,9,Kasungu
125,2,Central Eastern,9,Kasungu
125,2,Central Eastern,9,Kasungu
125,2,Central Eastern,9,Kasungu
126,2,Central Eastern,9,Kasungu
126,2,Central Eastern,9,Kasungu
126,2,Central Eastern,9,Kasungu
127,2,Central Eastern,9,Kasungu
127,2,Central Eastern,9,Kasungu
127,2,Central Eastern,9,Kasungu
128,2,Central Eastern,9,Kasungu
128,2,Central Eastern,9,Kasungu
128,2,Central Eastern,9,Kasungu
129,2,Central Eastern,9,Kasungu
129,2,Central Eastern,9,Kasungu
129,2,Central Eastern,9,Kasungu
130,2,Central Eastern,9,Kasungu
130,2,Central Eastern,9,Kasungu
130,2,Central Eastern,9,Kasungu
131,2,Central Eastern,9,Kasungu
131,2,Central Eastern,9,Kasungu
132,2,Central Eastern,9,Kasungu
132,2,Central Eastern,9,Kasungu
132,2,Central Eastern,9,Kasungu
133,2,Central Eastern,9,Kasungu
133,2,Central Eastern,9,Kasungu
133,2,Central Eastern,9,Kasungu
134,2,Central Eastern,9,Kasungu
134,2,Central Eastern,9,Kasungu
134,2,Central Eastern,9,Kasungu
135,2,Central Eastern,9,Kasungu
135,2,Central Eastern,9,Kasungu
135,2,Central Eastern,9,Kasungu
136,2,Central Eastern,9,Kasungu
136,2,Central Eastern,9,Kasungu
136,2,Central Eastern,9,Kasungu
138,2,Central Eastern,11,Dowa
138,2,Central Eastern,11,Dowa
138,2,Central Eastern,11,Dowa
139,2,Central Eastern,10,Nkhotakota
139,2,Central Eastern,10,Nkhotakota
139,2,Central Eastern,10,Nkhotakota
140,2,Central Eastern,10,Nkhotakota
140,2,Central Eastern,10,Nkhotakota
140,2,Central Eastern,10,Nkhotakota
141,2,Central Eastern,10,Nkhotakota
141,2,Central Eastern,10,Nkhotakota
141,2,Central Eastern,10,Nkhotakota
142,2,Central Eastern,10,Nkhotakota
142,2,Central Eastern,10,Nkhotakota
142,2,Central Eastern,10,Nkhotakota
143,2,Central Eastern,10,Nkhotakota
143,2,Central Eastern,10,Nkhotakota
143,2,Central Eastern,10,Nkhotakota
144,2,Central Eastern,10,Nkhotakota
144,2,Central Eastern,10,Nkhotakota
144,2,Central Eastern,10,Nkhotakota
145,2,Central Eastern,10,Nkhotakota
145,2,Central Eastern,10,Nkhotakota
145,2,Central Eastern,10,Nkhotakota
146,2,Central Eastern,10,Nkhotakota
146,2,Central Eastern,10,Nkhotakota
146,2,Central Eastern,10,Nkhotakota
147,2,Central Eastern,10,Nkhotakota
147,2,Central Eastern,10,Nkhotakota
147,2,Central Eastern,10,Nkhotakota
148,2,Central Eastern,10,Nkhotakota
148,2,Central Eastern,10,Nkhotakota
148,2,Central Eastern,10,Nkhotakota
149,3,Central Western,17,Lilongwe Rural West
149,3,Central Western,17,Lilongwe Rural West
150,3,Central Western,16,Lilongwe Rural East
151,2,Central Eastern,11,Dowa
151,2,Central Eastern,11,Dowa
151,2,Central Eastern,11,Dowa
152,2,Central Eastern,11,Dowa
152,2,Central Eastern,11,Dowa
152,2,Central Eastern,11,Dowa
153,2,Central Eastern,11,Dowa
153,2,Central Eastern,11,Dowa
153,2,Central Eastern,11,Dowa
154,2,Central Eastern,11,Dowa
154,2,Central Eastern,11,Dowa
154,2,Central Eastern,11,Dowa
155,2,Central Eastern,11,Dowa
155,2,Central Eastern,11,Dowa
155,2,Central Eastern,11,Dowa
156,2,Central Eastern,11,Dowa
156,2,Central Eastern,11,Dowa
156,2,Central Eastern,11,Dowa
157,2,Central Eastern,11,Dowa
157,2,Central Eastern,11,Dowa
157,2,Central Eastern,11,Dowa
158,2,Central Eastern,11,Dowa
158,2,Central Eastern,11,Dowa
158,2,Central Eastern,11,Dowa
159,2,Central Eastern,11,Dowa
159,2,Central Eastern,11,Dowa
159,2,Central Eastern,11,Dowa
160,2,Central Eastern,11,Dowa
160,2,Central Eastern,11,Dowa
160,2,Central Eastern,11,Dowa
161,2,Central Eastern,11,Dowa
161,2,Central Eastern,11,Dowa
161,2,Central Eastern,11,Dowa
162,2,Central Eastern,11,Dowa
162,2,Central Eastern,11,Dowa
162,2,Central Eastern,11,Dowa
163,2,Central Eastern,11,Dowa
163,2,Central Eastern,11,Dowa
163,2,Central Eastern,11,Dowa
164,2,Central Eastern,11,Dowa
164,2,Central Eastern,11,Dowa
164,2,Central Eastern,11,Dowa
166,1,Northern,7,Nkhata Bay
166,1,Northern,7,Nkhata Bay
167,2,Central Eastern,12,Ntchisi
167,2,Central Eastern,12,Ntchisi
168,2,Central Eastern,12,Ntchisi
168,2,Central Eastern,12,Ntchisi
169,2,Central Eastern,12,Ntchisi
170,2,Central Eastern,12,Ntchisi
171,2,Central Eastern,12,Ntchisi
171,2,Central Eastern,12,Ntchisi
172,2,Central Eastern,12,Ntchisi
173,2,Central Eastern,12,Ntchisi
173,2,Central Eastern,12,Ntchisi
174,2,Central Eastern,12,Ntchisi
175,2,Central Eastern,12,Ntchisi
176,2,Central Eastern,12,Ntchisi
177,1,Northern,1,Chitipa
179,2,Central Eastern,13,Salima
180,2,Central Eastern,13,Salima
181,2,Central Eastern,13,Salima
182,2,Central Eastern,13,Salima
182,2,Central Eastern,13,Salima
183,2,Central Eastern,13,Salima
183,2,Central Eastern,13,Salima
184,2,Central Eastern,13,Salima
184,2,Central Eastern,13,Salima
185,2,Central Eastern,13,Salima
185,2,Central Eastern,13,Salima
186,2,Central Eastern,13,Salima
187,2,Central Eastern,13,Salima
187,2,Central Eastern,13,Salima
188,2,Central Eastern,13,Salima
188,2,Central Eastern,13,Salima
189,2,Central Eastern,11,Dowa
189,2,Central Eastern,11,Dowa
189,2,Central Eastern,11,Dowa
191,3,Central Western,14,Mchinji
191,3,Central Western,14,Mchinji
192,3,Central Western,14,Mchinji
192,3,Central Western,14,Mchinji
193,3,Central Western,14,Mchinji
193,3,Central Western,14,Mchinji
194,3,Central Western,14,Mchinji
194,3,Central Western,14,Mchinji
195,3,Central Western,14,Mchinji
195,3,Central Western,14,Mchinji
196,3,Central Western,14,Mchinji
196,3,Central Western,14,Mchinji
197,3,Central Western,14,Mchinji
198,3,Central Western,14,Mchinji
199,3,Central Western,14,Mchinji
200,3,Central Western,14,Mchinji
201,3,Central Western,14,Mchinji
201,3,Central Western,14,Mchinji
202,1,Northern,3,Rumphi
202,1,Northern,3,Rumphi
203,1,Northern,3,Rumphi
203,1,Northern,3,Rumphi
203,1,Northern,3,Rumphi
204,1,Northern,2,Karonga
205,3,Central Western,19,Ntcheu
206,1,Northern,8,Likoma
208,1,Northern,1,Chitipa
208,1,Northern,1,Chitipa
209,5,Southern Western,34,Neno
209,5,Southern Western,34,Neno
210,3,Central Western,16,Lilongwe Rural East
211,3,Central Western,16,Lilongwe Rural East
212,3,Central Western,16,Lilongwe Rural East
212,3,Central Western,16,Lilongwe Rural East
213,3,Central Western,16,Lilongwe Rural East
214,3,Central Western,16,Lilongwe Rural East
214,3,Central Western,16,Lilongwe Rural East
215,3,Central Western,16,Lilongwe Rural East
216,3,Central Western,16,Lilongwe Rural East
217,3,Central Western,16,Lilongwe Rural East
217,3,Central Western,16,Lilongwe Rural East
218,3,Central Western,16,Lilongwe Rural East
218,3,Central Western,16,Lilongwe Rural East
219,3,Central Western,16,Lilongwe Rural East
219,3,Central Western,16,Lilongwe Rural East
220,3,Central Western,16,Lilongwe Rural East
221,3,Central Western,16,Lilongwe Rural East
221,3,Central Western,16,Lilongwe Rural East
222,3,Central Western,16,Lilongwe Rural East
223,3,Central Western,16,Lilongwe Rural East
224,3,Central Western,16,Lilongwe Rural East
224,3,Central Western,16,Lilongwe Rural East
225,3,Central Western,16,Lilongwe Rural East
225,3,Central Western,16,Lilongwe Rural East
226,3,Central Western,16,Lilongwe Rural East
227,3,Central Western,16,Lilongwe Rural East
227,3,Central Western,16,Lilongwe Rural East
228,3,Central Western,16,Lilongwe Rural East
228,3,Central Western,16,Lilongwe Rural East
229,1,Northern,7,Nkhata Bay
230,1,Northern,2,Karonga
231,3,Central Western,17,Lilongwe Rural West
231,3,Central Western,17,Lilongwe Rural West
231,3,Central Western,17,Lilongwe Rural West
232,3,Central Western,17,Lilongwe Rural West
232,3,Central Western,17,Lilongwe Rural West
232,3,Central Western,17,Lilongwe Rural West
233,3,Central Western,17,Lilongwe Rural West
233,3,Central Western,17,Lilongwe Rural West
233,3,Central Western,17,Lilongwe Rural West
234,3,Central Western,17,Lilongwe Rural West
234,3,Central Western,17,Lilongwe Rural West
235,3,Central Western,17,Lilongwe Rural West
235,3,Central Western,17,Lilongwe Rural West
235,3,Central Western,17,Lilongwe Rural West
236,3,Central Western,17,Lilongwe Rural West
236,3,Central Western,17,Lilongwe Rural West
236,3,Central Western,17,Lilongwe Rural West
237,3,Central Western,17,Lilongwe Rural West
237,3,Central Western,17,Lilongwe Rural West
237,3,Central Western,17,Lilongwe Rural West
238,3,Central Western,17,Lilongwe Rural West
238,3,Central Western,17,Lilongwe Rural West
239,3,Central Western,17,Lilongwe Rural West
239,3,Central Western,17,Lilongwe Rural West
240,3,Central Western,17,Lilongwe Rural West
240,3,Central Western,17,Lilongwe Rural West
240,3,Central Western,17,Lilongwe Rural West
241,3,Central Western,17,Lilongwe Rural West
241,3,Central Western,17,Lilongwe Rural West
242,3,Central Western,17,Lilongwe Rural West
242,3,Central Western,17,Lilongwe Rural West
242,3,Central Western,17,Lilongwe Rural West
243,3,Central Western,17,Lilongwe Rural West
243,3,Central Western,17,Lilongwe Rural West
