var_name,label,format,For_Dashboard,Filter
school_id,School ID,%8.0g,TRUE,
student_id,Student ID:,%8.0g,TRUE,
English_IRT_score,empirical Bayes means for Theta,%9.0g,,
Math_IRT_score,empirical Bayes means for Theta,%9.0g,,
Chi_IRT_score,empirical Bayes means for Theta,%9.0g,,
English_klg_score,English Knowledge score,%9.0g,TRUE,
Math_klg_score,Math Knowledge score,%9.0g,TRUE,
Chi_klg_score,Chichewa Knowledge score,%9.0g,TRUE,
MOEcode,School MoE code,%10.0g,,
school_na,School Name,%30s,,
female,"Female child (=1, 0 otherwise)",%9.0g,TRUE,TRUE
stu_age,stu_age,%9.0g,TRUE,
stu_age_above_m,age is above the median age,%9.0g,TRUE,TRUE
Chewa_speaking,Which language (s) do you usually speak at home?:Chewa,%9.0g,TRUE,TRUE
Tumbuka_speaking,,%9.0g,,
less_than_15min_dist,Distance to school <15 minutes,%9.0g,,
asset_index,Scores for component 1,%9.0g,,
above_SES_40th,asset_index>SES_40th,%9.0g,TRUE,TRUE
above_SES_10th,asset_index>SES_10th,%9.0g,,
above_SES_20th,asset_index>SES_20th,%9.0g,,
above_SES_40th_sch,asset_index>SES_40th_sch,%9.0g,,
above_SES_60th,asset_index>SES_60th,%9.0g,TRUE,TRUE
above_SES_75th,asset_index>SES_75th,%9.0g,,
live_with_parents,live with both mom and dad,%9.0g,,
live_with_parent,"live with mom, dad, or both",%9.0g,,
both_parent_lit,both mom and dad literate (y or n),%9.0g,,
parent_lit,"either mom, dad or both literate (y or n)",%9.0g,,
total_raven,overall percentage raven score,%9.0g,,
total_raven2,total raven score (out of 6),%9.0g,,
absent_last_week_yes,absent from school on any day last week (y or n),%9.0g,TRUE,
hw_help_yes,student got homework last week (y or n),%9.0g,TRUE,
stu_repeat_before,whether students repeated grades before (y or n),%9.0g,TRUE,
exp_score_english,Expected score in English,%9.0g,,
exp_score_math,Expected score in Math,%9.0g,,
exp_score_chichewa,Expected score in Chichewa,%9.0g,,
stu_self_perception,student self-perception,%9.0g,,
a71a,71a. You can score higher marks on tests/exams if you work hard),%8.0g,,
a71b,71b. You are interested in talking to new kids in school),%8.0g,,
a71c,"71c. When you start your homework, you tend to finish it)",%8.0g,,
a71d,"71d. If your class fellows scores higher by putting in more effort, it does not",%8.0g,,
a71e,71e. Failing in a test frustrates you),%8.0g,,
a71f,71f. You would prefer getting 2 sweets now instead of 5 tomorrow),%8.0g,,
a71g,71g. Teachers often tell you that you are not performing as well as you can),%8.0g,,
a71h,71h. Your parents often tell you that you are not performing as well as you can,%8.0g,,
a71i,71i. School is boring for you),%8.0g,,
a71j,71j. Sometimes your friends lie to you and you lie to them),%8.0g,,
think_above_ave,student self-evaluation of performance,%9.0g,,
general_positive_index,general positive mindset index (0-3),%9.0g,,
growth_mindset_index,growth mindset index (0-5),%9.0g,,
negative_fb_index,negative feedback: number of people given negative feedback (0-2),%9.0g,,
stu_tch_perception,Student teacher perception,%9.0g,,
q65a,65. Does the teacher encourage you to ask questions in the class?  - English Te,%8.0g,,
q65b,65. Does the teacher encourage you to ask questions in the class?  - Maths Teac,%8.0g,,
q65c,65. Does the teacher encourage you to ask questions in the class?  - Chichewa T,%8.0g,,
q66a,66. Does the teacher encourage you to answer questions in the class?  - English,%8.0g,,
q66b,66. Does the teacher encourage you to answer questions in the class?  - Maths T,%8.0g,,
q66c,66. Does the teacher encourage you to answer questions in the class?  - Chihewa,%8.0g,,
ask_the_same_anoth_stu_a,English teacher asks another student/the group the same question if student give,%9.0g,,
ask_the_same_anoth_stu_b,Math teacher asks another student/the group the same question if student gives t,%9.0g,,
ask_the_same_anoth_stu_c,Chichewa teacher asks another student/the group the same question if student giv,%9.0g,,
angry_punish_a,English teacher gets angry/upset and punishes me,%9.0g,,
angry_punish_b,Math teacher gets angry/upset and punishes me,%9.0g,,
angry_punish_c,Chichewa teacher gets angry/upset and punishes me,%9.0g,,
explain_wrong_anw_a,English teacher explains what is wrong with the answer,%9.0g,,
explain_wrong_anw_b,Math teacher explains what is wrong with the answer,%9.0g,,
explain_wrong_anw_c,Chichewa teacher explains what is wrong with the answer,%9.0g,,
q68a,68. Does the teacher mark your homework? - English Teacher,%8.0g,,
q68b,68. Does the teacher mark your homework? - Maths Teacher,%8.0g,,
q68c,68. Does the teacher mark your homework? - Chichewa Teacher,%8.0g,,
q69a,69. Does the teacher explain the marks given on your homework?  - English Teach,%8.0g,,
q69b,69. Does the teacher explain the marks given on your homework?  - Maths Teacher,%8.0g,,
q69c,69. Does the teacher explain the marks given on your homework?  - Chichewa Teac,%8.0g,,
q70a,70. Is the teacher available after class if you need help with the lesson?  - En,%8.0g,,
q70b,70. Is the teacher available after class if you need help with the lesson?  - Ma,%8.0g,,
q70c,70. Is the teacher available after class if you need help with the lesson?  - Ch,%8.0g,,
asset_index_sum,the simple sum of all pca items on asset index,%9.0g,,
stu_behav_index,"student part behavior indicators, general_positive_index + growth_mindset_index",%9.0g,,
greater_than_exp_eng,whether greater than expected score english (y or n),%9.0g,,
greater_than_exp_math,whether greater than expected score Math (y or n),%9.0g,,
greater_than_exp_chi,whether greater than expected score Chichewa (y or n),%9.0g,,
pca_stu_behav,Scores for component 1,%9.0g,,
toilet,Is there a toilet at/ near your house that you use? Y or N,%9.0g,,
electricity,Do you have electricity in your house? Y or N,%9.0g,,
piped_water, Do you have running water supply (pipe water) at your house? Y or N,%9.0g,,
tv,Does your family have ... TV? Y or N,%9.0g,,
bed,Does your family have ... Bed(s)? Y or N,%9.0g,,
radio,Does your family have ... Radio? Y or N,%9.0g,,
phone,Does your family have ... Mobile phone? Y or N,%9.0g,,
stove,Does your family have ... Stove / Mafuwa / Mbaula? Y or N,%9.0g,,
bike,Does your family have ... Bicycle? Y or N,%9.0g,,
motor,Does your family have ... Motor cycle/ scooter? Y or N,%9.0g,,
truck,Does your family have ... Tractor/ Truck/ Car? Y or N,%9.0g,,
chicken,Does your family have ... Chickens? Y or N,%9.0g,,
goats,Does your family have ... Goats/ Sheep? Y or N,%9.0g,,
pig,Does your family have ... Pigs? Y or N,%9.0g,,
cattle,Does your family have ... Cattle? Y or N,%9.0g,,
live_with_single_parent,live with only mom or only dad (single parent),%9.0g,,
hw_time,How much time do you usually spend at home every day doing homework?,%9.0g,,
district_na,District Name,%9s,,
school_loc,Rural/urban location,%10.0g,,
visit_filter,Is this a first (unannounced) visit or a second (announced) visit?,%23.0g,,
enum_first_visit1,Enumerator on first Visit,%24.0g,,
time_first_visit,Time Started,%9.0g,,
enum_second_visit1,Enumerator on second Visit,%10.0g,,
time_second_visit,Time Started,%9.0g,,
consent,Consent,%8.0g,,
a1,"1.First, middle and last name",%9s,,
a2,2.Student Learner Identification Number (LIN),%20s,,
a3,3. Sex [Observed],%8.0g,,
a4,4. How old are you?,%8.0g,,
a5,5. What is your father�s full name?,%9s,,
a6,6. Did you find any physical disability in this child?,%8.0g,,
a7a,7. Which language (s) do you usually speak at home?,%14.0g,,
a7b,7. Which language (s) do you usually speak at home?,%14.0g,,
a7c,7. Which language (s) do you usually speak at home?,%14.0g,,
a7d,7. Which language (s) do you usually speak at home?,%14.0g,,
a8,8. Where do you live?,%30s,,
a9,9. Do you live with both your mom and dad?,%8.0g,,
a10,10. Who do you live with?,%21.0g,,
a10_spec,10. Who do you live with? - Other specify,%29s,,
a11,"11. Have you seen your mom reading the Bible, a book or a newspaper at home?",%8.0g,,
a12,12. What does your mom do while you are in school?     If child does not live w,%33.0g,,
a12_spec,12. What does your mom do while you are in school?     If child does not live w,%74s,,
a13,"13. Have you seen your dad reading the Bible, a book or a newspaper at home?",%8.0g,,
a14,14. What does your dad do while you are in school?,%33.0g,,
a14_spec,14. What does your dad do while you are in school? [Other (specify)],%88s,,
a15,15. How many brothers do you have?,%8.0g,,
a15_m,15_m. How many of your brothers are older than you?,%8.0g,,
a16,16. How many sisters do you have?,%8.0g,,
a16_m,16_m. How many of your sisters are older than you?,%8.0g,,
a17m_a,17a. I get nervous when I don�t know how to solve a task at school) 17_m. Do yo,%8.0g,,
a17m_b,17b. I perform poorly at school whether or not I study for my exams) 17_m. Do y,%8.0g,,
a17m_c,"17c.�If I put in enough effort, I can succeed in school) 17_m. Do you agree wit",%8.0g,,
a17m_d,17d. I learn most when I work with other students) 17_m. Do you agree with thes,%8.0g,,
a17m_e,17e.�Many things I learn at school will help me in my life later on.) 17_m. Do,%8.0g,,
a18a,"18. On a typical day, how do you come to school from your home? Do you�",%21.0g,,
a18b,"18. On a typical day, how do you come to school from your home? Do you�",%21.0g,,
a21,"21. On a typical day, how long does it take for you to get to school from home?",%18.0g,,
a22,"22. Do you usually reach school on time, before the start of first period?",%8.0g,,
a23,23. How long would you like to stay in school?,%36.0g,,
q24,24. What type of house do you live in?,%80.0g,,
q25,25. What is the type of roof of your house?,%10.0g,,
q25_spec,25. What is the type of roof of your house? [Other (specify)],%30s,,
q26,26. What is the type of walls of your house?,%39.0g,,
q26_spec,26. What is the type of walls of your house?  [Other (specify)],%61s,,
q27,27. What is the type of floor in your house?,%31.0g,,
q27_spec,27. What is the type of floor in your house? [Other (specify)],%30s,,
q28,28. Is there a toilet at/ near your house that you use?,%8.0g,,
q29,29. Do you have electricity in your house?,%8.0g,,
q30,30. Do you have running water supply (pipe water) at your house?,%8.0g,,
q31,31. Does your family have farmland (cultivable land)?,%8.0g,,
a32a,32. Does your family have -? (a. TV ),%8.0g,,
a32b,32. Does your family have -? (b. Bed(s) ),%8.0g,,
a32c,32. Does your family have -? (c.�Radio ),%8.0g,,
a32d,32. Does your family have -? (d. Mobile phone ),%8.0g,,
a32f,32. Does your family have -? (f.�Stove / Mafuwa / Mbaula),%8.0g,,
a32g,32. Does your family have -? (g.Bicycle ),%8.0g,,
a32h,32. Does your family have -? (h.Motor cycle/ scooter ),%8.0g,,
a32i,32. Does your family have -? (i.Tractor/ Truck/ Car),%8.0g,,
a32k,32. Does your family have -? (k.Chickens ),%8.0g,,
a32l,32. Does your family have -? (l.Goats/ Sheep),%8.0g,,
a32n,32. Does your family have -? (n.Pigs ),%8.0g,,
a32o,32. Does your family have -? (o.Cattle ),%8.0g,,
a32o_m,32. Does your family have -? (o_m.Other large items (Specify)),%8.0g,,
a32o_m_spec,32o_m. Specify Other large items,%46s,,
a32m_a,32ma.�It is completely my choice whether or not I do well at school),%8.0g,,
a32m_b,"32mb.�I do certain things that are bad for me, if they are fun)",%8.0g,,
a32m_c,32mc.�I often set a goal but later choose to pursue a different one.),%8.0g,,
a32m_d,32md. I often worry that it will be difficult for me taking a test.),%8.0g,,
a32m_e,32me. I prefer doing exercises in a group to doing them alone.),%8.0g,,
sec1_comments,Interviewer comments for this section,%215s,,
a33,33. In which standard did you join this school?,%10.0g,,
a34,34. Which standard are you currently in?,%10.0g,TRUE,
a35a,35. How many years were you in�Standard 4,%8.0g,,
a36a,36.Why did you repeat this grade?,%32.0g,,
a36a_spec,36.Why did you repeat this grade?...Standard 4.Other Specified,%9s,,
a35b,35. How many years were you in�Standard 3,%8.0g,,
a36b,36.Why did you repeat this grade?,%32.0g,,
a36b_spec,36.Why did you repeat this grade?...Standard 3.Other Specified,%120s,,
a35c,35. How many years were you in�Standard 2,%8.0g,,
a36c,36.Why did you repeat this grade?,%32.0g,,
a36c_spec,36.Why did you repeat this grade?...Standard 2.Other Specified,%9s,,
a35d,35. How many years were you in�Standard 1,%8.0g,,
a36d,36.Why did you repeat this grade?,%32.0g,,
a36d_spec,36.Why did you repeat this grade?...Standard 1.Other Specified,%9s,,
a35e,35. How many years were you in�Pre-school,%8.0g,,
a36e,36.Why did you repeat this grade?,%32.0g,,
a36e_spec,36.Why did you repeat this grade?...Pre-school.Other Specified,%9s,,
a47_m1,47_m1. Do you have a school bag?,%8.0g,TRUE,
a47_m2,47_m2. Do you have a uniform?,%8.0g,TRUE,
a47_m3,47_m3. Do you have a notebook/ exercise book/ workbook?,%8.0g,TRUE,
a47_m4,47_m4. Did you get the notebook/ exercise book/ workbook from the school?,%8.0g,TRUE,
q48,48. Do you do your homework?,%23.0g,TRUE,
q49,49. How much time do you usually spend at home every day doing homework?,%8.0g,TRUE,
q50,50. Who helps you the most with homework at home?,%14.0g,TRUE,
q50_spec,50. Who helps you the most with homework at home? [Other (specify)],%36s,,
a51,"51. Last week, were you absent from school on any day?",%8.0g,TRUE,
a52,52. Why were you absent?,%31.0g,TRUE,
a52_spec,52. Why were you absent? [Other (specify)],%9s,,
