var_name,label,format,Dashboard,Filter
school_id,School ID,%8.0g,TRUE,
student_id,Student ID:,%8.0g,TRUE,
English_klg_score,English Knowledge score,%9.0g,TRUE,
Math_klg_score,Math Knowledge score,%9.0g,TRUE,
Chi_klg_score,Chichewa Knowledge score,%9.0g,TRUE,
female,"Female child (=1, 0 otherwise)",%9.0g,TRUE,TRUE
stu_age,stu_age,%9.0g,TRUE,
stu_age_above_m,age is above the median age,%9.0g,TRUE,TRUE
Chewa_speaking,Which language (s) do you usually speak at home?:Chewa,%9.0g,TRUE,TRUE
above_SES_40th,asset_index>SES_40th,%9.0g,TRUE,TRUE
above_SES_60th,asset_index>SES_60th,%9.0g,TRUE,TRUE
absent_last_week_yes,absent from school on any day last week (y or n),%9.0g,TRUE,
hw_help_yes,student got homework last week (y or n),%9.0g,TRUE,
stu_repeat_before,whether students repeated grades before (y or n),%9.0g,TRUE,
a34,34. Which standard are you currently in?,%10.0g,TRUE,
a47_m1,47_m1. Do you have a school bag?,%8.0g,TRUE,
a47_m2,47_m2. Do you have a uniform?,%8.0g,TRUE,
a47_m3,47_m3. Do you have a notebook/ exercise book/ workbook?,%8.0g,TRUE,
a47_m4,47_m4. Did you get the notebook/ exercise book/ workbook from the school?,%8.0g,TRUE,
q48,48. Do you do your homework?,%23.0g,TRUE,
q49,49. How much time do you usually spend at home every day doing homework?,%8.0g,TRUE,
q50,50. Who helps you the most with homework at home?,%14.0g,TRUE,
a51,"51. Last week, were you absent from school on any day?",%8.0g,TRUE,
a52,52. Why were you absent?,%31.0g,TRUE,
q53,"53. Last week, were you absent from school on all days?",%8.0g,TRUE,
live_with_no_parent,live with neither mom nor dad,%9.0g,TRUE,
mom_literate,mom literate (y or n),%9.0g,TRUE,
dad_literate,dad literate (y or n),%9.0g,TRUE,
division_nam,Division_nam,%16s,TRUE,TRUE
district_nam,District_nam,%19s,TRUE,TRUE
