var_name,label,format,Dashboard,Filter
school_id,School ID,%10.0g,TRUE,
school_nam,School Name,%9s,TRUE,
division_num,Division_num,%10.0g,TRUE,TRUE
division_nam,Division_nam,%16s,TRUE,TRUE
district_num,District Number,%8.0g,TRUE,TRUE
district_nam,District Name,%19s,TRUE,TRUE
enrol_std1,Enrollment (std 1),%9.0g,TRUE,
enrol_std2,Enrollment (std 2),%9.0g,TRUE,
enrol_std3,Enrollment (std 3),%9.0g,TRUE,
enrol_std4,Enrollment (std 4),%9.0g,TRUE,
enrol_std5,Enrollment (std 5),%9.0g,TRUE,
enrol_std6,Enrollment (std 6),%9.0g,TRUE,
enrol_std7,Enrollment (std 7),%9.0g,TRUE,
enrol_std8,Enrollment (std 8),%9.0g,TRUE,
enrol_tot,Total Enrolment,%9.0g,TRUE,
enrol_lower_tot,Lower Primary Enrolment,%9.0g,TRUE,
enrol_upper_tot,Upper Primary Enrolment,%9.0g,TRUE,
enrol_std1_f,Female Enrollment (std 1),%9.0g,TRUE,
enrol_std2_f,Female Enrollment (std 2),%9.0g,TRUE,
enrol_std3_f,Female Enrollment (std 3),%9.0g,TRUE,
enrol_std4_f,Female Enrollment (std 4),%9.0g,TRUE,
enrol_std5_f,Female Enrollment (std 5),%9.0g,TRUE,
enrol_std6_f,Female Enrollment (std 6),%9.0g,TRUE,
enrol_std7_f,Female Enrollment (std 7),%9.0g,TRUE,
enrol_std8_f,Female Enrollment (std 8),%9.0g,TRUE,
enrol_tot_f,Female Enrollment (total),%9.0g,TRUE,
enrol_lower_tot_f,Female Enrollment (std 1-4),%9.0g,TRUE,
enrol_upper_tot_f,Female Enrollment (std 4-8),%9.0g,TRUE,
enrol_std1_m,Male Enrollment (std 1),%9.0g,TRUE,
enrol_std2_m,Male Enrollment (std 2),%9.0g,TRUE,
enrol_std3_m,Male Enrollment (std 3),%9.0g,TRUE,
enrol_std4_m,Male Enrollment (std 4),%9.0g,TRUE,
enrol_std5_m,Male Enrollment (std 5),%9.0g,TRUE,
enrol_std6_m,Male Enrollment (std 6),%9.0g,TRUE,
enrol_std7_m,Male Enrollment (std 7),%9.0g,TRUE,
enrol_std8_m,Male Enrollment (std 8),%9.0g,TRUE,
enrol_tot_m,Male Enrollment (total),%9.0g,TRUE,
enrol_lower_tot_m,Male Enrollment (std 1-4),%9.0g,TRUE,
enrol_upper_tot_m,Male Enrollment (std 4-8),%9.0g,TRUE,
output_efficiency_grade4,Output Efficiency (std 4),%9.0g,TRUE,
output_efficiency_grade8,Output Efficiency (std 8),%9.0g,TRUE,
output_efficiency_grade4_f,Female Output Efficiency (std 4),%9.0g,TRUE,
output_efficiency_grade8_f,Female Output Efficiency (std 8),%9.0g,TRUE,
output_efficiency_grade4_m,Male Output Efficiency (std 4),%9.0g,TRUE,
output_efficiency_grade8_m,Male Output Efficiency (std 8),%9.0g,TRUE,
num_non_tch_staff,Number of non-teaching staff,%9.0g,TRUE,
ptxt_ratio_eng_tot,Pupil:txt ratio English,%9.0g,TRUE,
ptxt_ratio_math_tot,Pupil:txt ratio Math,%9.0g,TRUE,
ptxt_ratio_chi_tot,Pupil:txt ratio Chichewa,%9.0g,TRUE,
